cState,tau_cb (s),efficiency (%)
3,0.0095999999999999,1.309480712214403
4,0.0116159999999999,1.2550403371330552
5,0.015472,1.5128086140801407
6,0.049252,2.641662901917397
7,0.0903559999999999,5.221044718740513
8,0.1189359999999999,10.7067078968047
9,0.130992,20.173376225631245
10,0.138008,11.615582551935763
11,0.12668,4.466721653272197
12,0.10788,1.1806982083558686
